# Supplementary material of "Comparative analysis of tandem repeats from hundreds of species reveals unique insights into centromere evolution"
# Species	Common name	Sequencing technique	Kingdom	Phylum	Centromere type	Repeat length (nt)	GC content (%)	Repeat Fraction	Rep Fraction (%)	Genomic Fraction	Genomic Fraction (%)	Genomic Fraction (log2 of %)	Genomic Fraction group (Figure S5A)	Karyotype (2n)	Genome Size (Gb)	Average Size Repeat Array (kb)	Higher Order Repeat structure	NCBI Trace Archive	DDBJ DRA
Drosophila yakuba	Fruitfly	Sanger	Animalia	Arthropoda	Monocentric	396	35	0.3929	39.29	0.003765	0.3765	-1.40927823	3	8	0.17	160.0125	found	fasta.drosophila_yakuba.001.gz; fasta.drosophila_yakuba.002.gz; fasta.drosophila_yakuba.003.gz; fasta.drosophila_yakuba.004.gz; fasta.drosophila_yakuba.005.gz	nd
Dunaliella salina	Green micro-alga	Sanger	Plantae	Chlorophyta	Monocentric	183	45	0.46374	46.374	0.054861	5.4861	2.45578092	5	nd	0.13	nd	found	fasta.dunaliella_salina.001.gz; fasta.dunaliella_saline.002.gz	nd
Echinococcus granulosus	Cyclophyllid tapeworm	Illumina	Animalia	Platyhelminthes	Monocentric	102	28	nd	nd	0.000181	0.0181	-5.787866492	1	nd	nd	nd	nd	nd	ERX009972
Echinococcus multilocularis	Cyclophyllid tapeworm	Illumina	Animalia	Platyhelminthes	Monocentric	60	47	nd	nd	0.17249	17.249	4.10844082	6	18	1.4	26831.77778	nd	nd	ERX008031
Echinops telfairi	Lesser hedgehog tenrec	Sanger	Animalia	Chordata	Monocentric	62	67	0.07705	7.705	0.000109	0.0109	-6.519528055	1	40	3.12	17.004	not found	fasta.echinops_telfairi.003.gz; fasta.echinops_telfairi.005.gz; fasta.echinops_telfairi.006.gz; fasta.echinops_telfairi.011.gz; fasta.echinops_telfairi.019.gz; fasta.echinops_telfairi.023.gz	nd
Equus caballus	Horse	Sanger	Animalia	Chordata	Monocentric	221	51	0.58156	58.156	0.026893	2.6893	1.427230701	5	64	3.15	2647.279688	found	fasta.equus_caballus.014.gz; fasta.equus_caballus.017.gz; fasta.equus_caballus.035.gz; fasta.equus_caballus.055.gz; fasta.equus_caballus.059.gz	nd
Erinaceus europaeus	European hedgehog	Sanger	Animalia	Chordata	Monocentric	66	68	0.05379	5.379	0.000096	0.0096	-6.702749879	1	48	3.66	14.64	not found	fasta.erinaceus_europaeus.001.gz; fasta.erinaceus_europaeus.002.gz; fasta.erinaceus_europaeus.003.gz; fasta.erinaceus_europaeus.004.gz; fasta.erinaceus_europaeus.005.gz; fasta.erinaceus_europaeus.006.gz; fasta.erinaceus_europaeus.007.gz; fasta.erinaceus_europaeus.008.gz; fasta.erinaceus_europaeus.009.gz; fasta.erinaceus_europaeus.010.gz; fasta.erinaceus_europaeus.011.gz; fasta.erinaceus_europaeus.012.gz; fasta.erinaceus_europaeus.013.gz; fasta.erinaceus_europaeus.014.gz; fasta.erinaceus_europaeus.015.gz; fasta.erinaceus_europaeus.016.gz; fasta.erinaceus_europaeus.017.gz; fasta.erinaceus_europaeus.018.gz; fasta.erinaceus_europaeus.019.gz; fasta.erinaceus_europaeus.020.gz; fasta.erinaceus_europaeus.021.gz; fasta.erinaceus_europaeus.022.gz	nd
Eucalyptus globulus	Blue gum	Illumina	Plantae	Eudicot	Monocentric	183	45	nd	nd	0.001682	0.1682	-2.571750389	3	22	0.58	88.68727273	nd	nd	SRX059820
Eucalyptus grandis	Rose gum	Sanger	Plantae	Eudicot	Monocentric	177	42	0.30503	30.503	0.001704	0.1704	-2.553002759	3	22	0.64	99.14181818	found	fasta.eucalyptus_grandis.001.gz; fasta.eucalyptus_grandis.002.gz; fasta.eucalyptus_grandis.004.gz; fasta.eucalyptus_grandis.005.gz; fasta.eucalyptus_grandis.007.gz	nd
Eucidaris tribuloides	Slate pencil urchin	Illumina	Animalia	Echinodermata	Monocentric	399	40	nd	nd	0.007254	0.7254	-0.4631513496	4	nd	nd	nd	nd	nd	SRX096947
Felis catus	Domestic cat	Sanger, Illumina	Animalia	Chordata	Monocentric	33	69	0.69548	69.548	0.006303	0.6303	-0.6658894322	4	38	2.91	965.3542105	found	fasta.felis_catus.001.gz; fasta.felis_catus.003.gz; fasta.felis_catus.007.gz; fasta.felis_catus.008.gz; fasta.felis_catus.024.gz	SRX019549
Felis silvestris cafra	African wild cat	Sanger, Illumina	Animalia	Chordata	Monocentric	33	69	0.71931	71.931	0.007573	0.7573	-0.4010631662	4	38	3	1195.736842	found	fasta.felis_silvestris_cafra.001.gz; fasta.felis_silvestris_cafra.002.gz; fasta.felis_silvestris_cafra.003.gz	SRX026960
Ficus altissima	Council tree	Illumina	Plantae	Eudicot	Monocentric	161	36	nd	nd	0.044553	4.4553	2.15552258	5	26	0.73	2501.822308	nd	nd	SRX017643
Ficus fistulosa	Fig tree	Illumina	Plantae	Eudicot	Monocentric	161	40	nd	nd	0.219448	21.9448	4.455807217	6	26	0.73	12322.84923	nd	nd	SRX016302
Ficus langkokensis	Fig tree	Illumina	Plantae	Eudicot	Monocentric	161	41	nd	nd	0.115767	11.5767	3.533152159	6	26	0.73	6500.762308	nd	nd	SRX017645
Ficus microcarpa	Fig tree	Illumina	Plantae	Eudicot	Monocentric	232	30	nd	nd	0.022113	2.2113	1.144894764	5	26	0.73	1241.73	nd	nd	SRX017740
Ficus tinctoria	Fig tree	Illumina	Plantae	Eudicot	Monocentric	285	36	nd	nd	0.057546	5.7546	2.524715651	5	26	0.73	3231.429231	nd	nd	SRX017840
Gallus gallus	Chicken	Sanger, Illumina	Animalia	Chordata	Monocentric	42	38	0.06325	6.325	0.017114	1.7114	0.7751769957	4	78	1.25	548.525641	not found	fasta.gallus_gallus.002.gz; fasta.gallus_gallus.003.gz; fasta.gallus_gallus.005.gz; fasta.gallus_gallus.013.gz; fasta.gallus_gallus.014.gz; fasta.gallus_gallus.015.gz; fasta.gallus_gallus.031.gz; fasta.gallus_gallus.035.gz	SRX043655
Gasterosteus aculeatus	Three-spined stickleback	Sanger, Illumina	Animalia	Chordata	Monocentric	314	41	0.38542	38.542	0.003897	0.3897	-1.359564163	3	42	0.7	129.9	not found	fasta.gasterosteus_aculeatus.002.gz; fasta.gasterosteus_aculeatus.006.gz; fasta.gasterosteus_aculeatus.007.gz; fasta.gasterosteus_aculeatus.008.gz; fasta.gasterosteus_aculeatus.009.gz; fasta.gasterosteus_aculeatus.010.gz	SRX007185
Globodera pallida	Potato cyst nematode	Sanger, Illumina	Animalia	Nematoda	Holocentric	160	43	0.17149	17.149	0.00275	0.275	-1.862496476	3	18	0.1	30.55555556	not found	fasta.globodera_pallida.001.gz	ERX007808
Glossina morsitans	Tsetse fly	Sanger, Illumina	Animalia	Arthropoda	Monocentric	143	36	0.57543	57.543	0.016272	1.6272	0.7023915843	4	6	0.54	2928.96	found	fasta.glossina_morsitans.001.gz; fasta.glossina_morsitans.002.gz; fasta.glossina_morsitans.003.gz	ERX007389
Glycine max	Soybean	Sanger	Plantae	Monocot	Monocentric	92	41	0.3962	39.62	0.019288	1.9288	0.9477035561	4	40	1.13	1089.772	found	fasta.glycine_max.001.gz; fasta.glycine_max.005.gz; fasta.glycine_max.010.gz; fasta.glycine_max.015.gz; fasta.glycine_max.020.gz	nd
Glycine soja	Wild soybean	Illumina	Plantae	Monocot	Monocentric	92	42	nd	nd	0.039703	3.9703	1.989248023	5	40	1.15	2282.9225	nd	nd	SRX007149
Gorilla gorilla gorilla	Western lowland gorilla	Sanger, Illumina	Animalia	Chordata	Monocentric	171	39	nd	nd	0.030467	3.0467	1.607247449	5	48	3.84	4874.72	not found	fasta.gorilla_gorilla.002.gz; fasta.gorilla_gorilla.004.gz; fasta.gorilla_gorilla.007.gz; fasta.gorilla_gorilla.011.gz; fasta.gorilla_gorilla.017.gz	ERX007929
Gorilla gorilla graueri	Eastern lowland gorilla	Illumina	Animalia	Chordata	Monocentric	169	36	nd	nd	0.019335	1.9335	0.9512147644	4	48	3.84	3093.6	nd	nd	ERX007101
Gossypium raimondii	Wild Peruvian cotton 	Sanger, Illumina	Plantae	Eudicot	Monocentric	131	47	0.14146	14.146	0.002639	0.2639	-1.921936744	3	26	0.98	198.94	found	fasta.gossypium_raimondii.001.gz; fasta.gossypium_raimondii.002.gz	SRX027435
Haemonchus contortus	Red stomach worm	Sanger	Animalia	Nematoda	Holocentric	128	53	0.10485	10.485	0.000425	0.0425	-4.556393349	2	12	0.06	4.25	not found	fasta.haemonchus_contortus.001.gz	nd
Harpegnathos saltator	Jerdon's jumping ant	Illumina	Animalia	Arthropoda	Monocentric	150	42	nd	nd	0.12233	12.233	3.612706346	6	nd	nd	nd	nd	nd	SRX022758
Heliconius cydno	Cydno longwing	Illumina	Animalia	Arthropoda	Holocentric	137	30	nd	nd	0.007772	0.7772	-0.363642194	4	nd	nd	nd	nd	nd	SRX096760
Heliconius melpomene	Postman butterfly	Sanger	Animalia	Arthropoda	Holocentric	131	57	0.625	62.5	0.002301	0.2301	-2.119667111	3	42	0.3	32.87142857	not found	fasta.heliconius_melpomene.001.gz	nd
Helobdella robusta	Leech	Sanger	Animalia	Annelida	Monocentric	373	36	0.07368	7.368	0.000201	0.0201	-5.636660688	1	18	0.46	10.27333333	not found	fasta.helobdella_robusta.001.gz; fasta.helobdella_robusta.002.gz; fasta.helobdella_robusta.003.gz; fasta.helobdella_robusta.004.gz; fasta.helobdella_robusta.005.gz	nd
Heterocephalus glaber	Naked mole rat	Illumina	Animalia	Chordata	Monocentric	45	67	nd	nd	0.000711	0.0711	-3.81400663	2	60	2.9	68.73	nd	nd	SRX047061
Heterodera glycines	Soybean cyst nematode	454	Animalia	Nematoda	Holocentric	188	38	nd	nd	0.12683	12.683	3.664824132	6	nd	0.06	nd	nd	nd	SRX038803
Heterorhabditis bacteriophora	Roundworm	Sanger	Animalia	Nematoda	Holocentric	168	40	0.27265	27.265	0.012459	1.2459	0.3171882776	4	14	0.05	88.99285714	not found	fasta.heterorhabditis_bacteriophora.001.gz	nd
Homo sapiens	Human	Sanger, Illumina	Animalia	Chordata	Monocentric	171	37	0.70287	70.287	0.017731	1.7731	0.8262739042	4	46	3.5	2698.195652	found	fasta.homo_sapiens.083.gz; fasta.homo_sapiens.091.gz; fasta.homo_sapiens.123.gz; fasta.homo_sapiens.186.gz; fasta.homo_sapiens.362.gz; fasta.homo_sapiens.472.gz	SRX015667
Hordeum vulgare	Barley	Illumina	Plantae	Monocot	Monocentric	137	43	nd	nd	0.012809	1.2809	0.3571578487	4	14	5.55	10155.70714	nd	nd	SRX06864
Hydra magnipapillata	Fresh water polyp	Sanger	Animalia	Cnidaria	Monocentric	183	26	0.8206	82.06	0.052881	5.2881	2.402749459	5	30	1.05	3701.67	not found	fasta.hydra_magnipapillata.002.gz; fasta.hydra_magnipapillata.004.gz; fasta.hydra_magnipapillata.009.gz; fasta.hydra_magnipapillata.012.gz; fasta.hydra_magnipapillata.018.gz	nd
Hylobates concolor	Black crested gibbon	Sanger	Animalia	Chordata	Monocentric	171	36	0.69048	69.048	0.021483	2.1483	1.103195473	5	52	3.3	2726.688462	found	fasta.hylobates_concolor.001.gz	nd
Hymenolepis microstoma	Rodent tapeworm	Illumina	Animalia	Platyhelminthes	Monocentric	172	42	nd	nd	0.036758	3.6758	1.878058272	5	12	1.4	8576.866667	nd	nd	ERX008535
Ixodes scapularis	Deer tick	Sanger	Animalia	Arthropoda	Holocentric	95	56	0.65386	65.386	0.081559	8.1559	3.027844086	6	28	2.1	12233.85	not found	fasta.ixodes_scapularis.006.gz; fasta.ixodes_scapularis.007.gz; fasta.ixodes_scapularis.008.gz; fasta.ixodes_scapularis.010.gz; fasta.ixodes_scapularis.032.gz; fasta.ixodes_scapularis.039.gz	nd
Jatropha curcas	Barbados nut	Illumina	Plantae	Eudicot	Monocentric	357	46	nd	nd	0.021062	2.1062	1.074642438	5	22	0.43	823.3327273	nd	nd	DRX000448
Labeotropheus fuelleborni	Blue mbuna	Sanger	Animalia	Chordata	Monocentric	236	35	0.67683	67.683	0.01577	1.577	0.6571826601	4	23	1.06	1453.582609	not found	fasta.labeotropheus_fuelleborni.001.gz	nd
Lama glama	Llama	Sanger	Animalia	Chordata	Monocentric	248	45	0.50317	50.317	0.029052	2.9052	1.538637485	5	74	3.25	2551.864865	not found	fasta.lama_glama.001.gz	nd
Latimeria chalumnae	West Indian Ocean coelacanth	Sanger, Illumina	Animalia	Chordata	Monocentric	63	47	0.3615	36.15	0.002638	0.2638	-1.92248353	3	48	3.61	396.7991667	found	fasta.latimeria_chalumnae.001.gz	SRX032155
Lemna gibba	Fat duckweed	Sanger	Plantae	Monocot	Monocentric	64	58	nd	nd	0.245429	24.5429	4.617233823	6	nd	nd	nd	not found	fasta.lemna_gibba.001.gz	nd
Lemur catta	Ringtailed lemur	Sanger	Animalia	Chordata	Monocentric	95	43	nd	nd	0.000296	0.0296	-5.078259014	1	56	3.28	34.67428571	not found	fasta.lemur_catta.001.gz	nd
Lepisosteus oculatus	Spotted gar	Illumina	Animalia	Chordata	Monocentric	255	41	nd	nd	0.034241	3.4241	1.775724836	5	68	1.4	1409.923529	nd	nd	SRX090801
Leptonychotes weddellii	Weddell seal	Illumina	Animalia	Chordata	Monocentric	36	42	nd	nd	0.000565	0.0565	-4.145605322	2	nd	nd	nd	nd	nd	SRX084287
Leucoraja erinacea	Little skate	Illumina	Animalia	Chordata	Monocentric	123	57	nd	nd	0.0285857	2.85857	1.515293619	5	nd	3.46	nd	nd	nd	SRX036634
Linepithema humile	Argentine ant	Illumina	Animalia	Arthropoda	Monocentric	161	27	nd	nd	0.185732	18.5732	4.215150495	6	18	0.26	5365.591111	nd	nd	SRX022814
Linum usitatissimum	Common flax	Illumina	Plantae	Eudicot	Monocentric	112	31	nd	nd	0.004194	0.4194	-1.253601233	3	30	0.7	195.72	nd	nd	SRX096893
Lithocarpus balansae	Beech tree	Illumina	Plantae	Eudicot	Monocentric	367	42	nd	nd	0.010453	1.0453	0.06391705369	4	nd	nd	nd	nd	nd	SRX016680
Lithocarpus calolepis	Beech tree	Illumina	Plantae	Eudicot	Monocentric	115	35	nd	nd	0.004719	0.4719	-1.083446923	3	nd	nd	nd	nd	nd	SRX017436
Lithocarpus grandifolius	Beech tree	Illumina	Plantae	Eudicot	Monocentric	114	37	nd	nd	0.023364	2.3364	1.22428729	5	nd	nd	nd	nd	nd	SRX017338
Lithocarpus hancei	Beech tree	Illumina	Plantae	Eudicot	Monocentric	367	39	nd	nd	0.041832	4.1832	2.064606975	5	nd	nd	nd	nd	nd	SRX017339
Lithocarpus xylocarpus	Beech tree	Illumina	Plantae	Eudicot	Monocentric	366	37	nd	nd	0.015215	1.5215	0.6054943339	4	nd	nd	nd	nd	nd	SRX017340
Lottia digitalis	Ribbed limpet	Illumina	Animalia	Mollusca	Monocentric	162	35	nd	nd	0.0115	1.15	0.2016338612	4	nd	nd	nd	nd	nd	SRX040373
Lottia gigantea	Owl limpet	Sanger	Animalia	Mollusca	Monocentric	405	39	0.19581	19.581	0.023693	2.3693	1.244460884	5	20	0.43	1018.799	not found	fasta.lottia_gigantea.002.gz; fasta.lottia_gigantea.005.gz; fasta.lottia_gigantea.006.gz; fasta.lottia_gigantea.007.gz; fasta.lottia_gigantea.008.gz	nd
Lottia scutum	Limpet	Illumina	Animalia	Mollusca	Monocentric	347	41	nd	nd	0.024325	2.4325	1.282439805	5	nd	nd	nd	nd	nd	SRX059844
Loxodonta africana	African elephant	Sanger	Animalia	Chordata	Monocentric	37	59	0.28731	28.731	0.00292	0.292	-1.775959726	3	56	4.44	463.0285714	not found	fasta.loxodanta_africana.009.gz; fasta.loxodanta_africana.024.gz; fasta.loxodanta_africana.037.gz; fasta.loxodanta_africana.041.gz; fasta.loxodanta_africana.064.gz	nd
Lytechinus variegatus	Green sea urchin	Illumina	Animalia	Echinodermata	Monocentric	163	38	nd	nd	0.014957	1.4957	0.5808208357	4	nd	0.92	nd	nd	nd	SRX112894
Macaca fascicularis	Crab-eating macaque	Illumina	Animalia	Chordata	Monocentric	171	38	nd	nd	0.069503	6.9503	2.797075251	5	42	3.45		nd	nd	SRX129569
Macaca mulatta	Rhesus macaque	Sanger, Illumina	Animalia	Chordata	Monocentric	170	41	0.75556	75.556	0.068912	6.8912	2.784755229	5	42	3.59	11780.67048	found	fasta.macaca_mulatta.037.gz; fasta.macaca_mulatta.047.gz; fasta.macaca_mulatta.058.gz; fasta.macaca_mulatta.060.gz; fasta.macaca_mulatta.064.gz	SRX076718
Macropus eugenii	Tammar wallaby	Sanger	Animalia	Chordata	Monocentric	32	28	0.04534	4.534	0.000099	0.0099	-6.658355759	1	16	3.91	48.38625	found	fasta.macropus_eugenii.006.gz; fasta.macropus_eugenii.008.gz; fasta.macropus_eugenii.011.gz; fasta.macropus_eugenii.012.gz; fasta.macropus_eugenii.013.gz	nd
Manihot esculenta	Cassava	454	Plantae	Eudicot	Monocentric	67	49	nd	nd	0.00317	0.317	-1.657445255	3	36	0.83	146.1722222	nd	nd	SRX063328
Manis pentadactyla	Chinese pangolin	Sanger	Animalia	Chordata	Monocentric	135	36	nd	nd	0.000574	0.0574	-4.122805453	2	40	3.6	103.32	not found	fasta.manis_pentadactyla.001.gz	nd
Marchantia polymorpha	Common liverwort	Sanger	Plantae	Marchantiophyta	Monocentric	181	50	0.07	7	0.000095	0.0095	-6.717856771	1	18	0.32	3.377777778	not found	fasta.marchantia_polymorpha.001.gz	nd
Mayetiola hordei	Barley stem gall midge	Illumina	Animalia	Arthropoda	Monocentric	359	32	nd	nd	0.050616	5.0616	2.339593501	5	8	0.12	1518.48	nd	nd	SRX049256
Medicago truncatula	Barrel medic	Illumina	Plantae	Eudicot	Monocentric	183	46	nd	nd	0.017702	1.7702	0.8239123675	4	16	0.48	1062.12	nd	nd	SRX032265
Melanochromis auratus	Golden mbuna	Sanger	Animalia	Chordata	Monocentric	237	37	0.66035	66.035	0.013679	1.3679	0.4519627662	4	46	1.06	630.4234783	not found	fasta.melanochromis_auratus.001.gz	nd
Meloidogyne incognita	Roundworm	Sanger	Animalia	Nematoda	Holocentric	129	45	0.1276	12.76	0.002549	0.2549	-1.971996722	3	14	0.05	18.20714286	found	fasta.meloidogyne_incognita.001.gz; fasta.meloidogyne_incognita.002.gz	nd
Metriaclima zebra	Zebra mbuna	Sanger	Animalia	Chordata	Monocentric	237	39	0.72578	72.578	0.014178	1.4178	0.5036540351	4	23	1.12	1380.813913	not found	fasta.metriaclima_zebra.001.gz	nd
Microcebus murinus	Gray mouse lemur	Sanger	Animalia	Chordata	Monocentric	53	69	0.45567	45.567	0.002168	0.2168	-2.205563338	3	66	3.12	204.9745455	found	fasta.microcebus_murinus.002.gz; fasta.microcebus_murinus.005.gz; fasta.microcebus_murinus.007.gz; fasta.microcebus_murinus.008.gz; fasta.microcebus_murinus.009.gz; fasta.microcebus_murinus.011.gz; fasta.microcebus_murinus.015.gz; fasta.microcebus_murinus.018.gz	nd
Micromonas pusilla	Green alga	Sanger	Plantae	Chlorophyta	Monocentric	81	72	0.10727	10.727	0.000822	0.0822	-3.604717796	2	nd	nd	nd	not found	fasta.micromonas_pusilla.001.gz	nd
Micromonas sp  rcc299	Green alga	Sanger	Plantae	Chlorophyta	Monocentric	202	61	0.21699	21.699	0.000777	0.0777	-3.685941591	2	nd	nd	nd	not found	fasta.micromonas_sp__rcc299.001.gz	nd
Mimulus dentilobus	Monkeyf lower	Illumina	Plantae	Eudicot	Monocentric	728	37	nd	nd	0.142372	14.2372	3.831593537	6	nd	nd	nd	nd	nd	SRX030541
Mimulus guttatus	Monkeyf lower	Sanger, Illumina	Plantae	Eudicot	Monocentric	728	37	0.36041	36.041	0.134448	13.4448	3.748976389	6	28	1	9603.428571	not found	fasta.mimulus_guttatus.002.gz; fasta.mimulus_guttatus.004.gz; fasta.mimulus_guttatus.009.gz; fasta.mimulus_guttatus.012.gz; fasta.mimulus_guttatus.014.gz	SRX030453
Mimulus laciniatus	Monkeyf lower	Illumina	Plantae	Eudicot	Monocentric	728	36	nd	nd	0.136574	13.6574	3.771610954	6	nd	nd	nd	nd	nd	SRX030449
Miscanthus giganteus	Giant chinese silver grass	Illumina	Plantae	Monocot	Monocentric	137	50	nd	nd	0.009586	0.9586	-0.06099915493	4	57	nd	nd	nd	nd	SRX119250
Monodelphis domestica	Gray short-tailed opposum	Sanger	Animalia	Chordata	Monocentric	33	48	0.02932	2.932	0.000041	0.0041	-7.930160375	1	18	4.17	18.99666667	found	fasta.monodelphis_domestrica.034.gz; fasta.monodelphis_domestrica.045.gz; fasta.monodelphis_domestrica.046.gz; fasta.monodelphis_domestrica.047.gz; fasta.monodelphis_domestrica.048.gz	nd
Mus caroli	Ryukyu mouse	Illumina	Animalia	Chordata	Monocentric	60	33	nd	nd	0.114904	11.4904	3.522357116	6	40	3.02	17350.504	nd	nd	ERX008063
Mus famulus	Servant mouse	Illumina	Animalia	Chordata	Monocentric	58	39	nd	nd	0.09507	9.507	3.24899016	6	40	3.25	15448.875	nd	nd	ERX007698
Mus musculus castaneus	Southeast Asian house mouse	Illumina	Animalia	Chordata	Monocentric	233	36	nd	nd	0.121552	12.1552	3.603501726	6	40	3.07	18658.232	nd	nd	ERX000233
Mus musculus domesticus	House mouse	Sanger, Illumina	Animalia	Chordata	Monocentric	58	37	0.34535	34.535	0.042851	4.2851	2.099328872	5	40	3.25	6963.2875	found	fasta.mus_musculus.021.gz; fasta.mus_musculus.126.gz; fasta.mus_musculus.151.gz; fasta.mus_musculus.168.gz; fasta.mus_musculus.182.gz; fasta.mus_musculus.362.gz	ERX002383
Mus spretus	Algerian mouse	Illumina	Animalia	Chordata	Monocentric	120	33	nd	nd	0.026939	2.6939	1.429696298	5	40	3.68	4956.776	nd	nd	ERX002457
Musa acuminata	Wild banana	454	Plantae	Monocot	Monocentric	147	46	nd	nd	0.01356	1.356	0.4393571785	4	22	0.63	776.6181818	nd	nd	SRX021908
Mustela putorius furo	Ferret	Illumina	Animalia	Chordata	Monocentric	116	47	nd	nd	0.001332	0.1332	-2.908334012	3	42	2.81	178.2342857	nd	nd	SRX034855
Myotis lucifugus	Little brown bat	Sanger	Animalia	Chordata	Monocentric	379	32	0.47778	47.778	0.002216	0.2216	-2.173970214	3	44	2.34	235.7018182	not found	fasta.myotis_lucifugus.008.gz; fasta.myotis_lucifugus.015.gz; fasta.myotis_lucifugus.022.gz; fasta.myotis_lucifugus.025.gz; fasta.myotis_lucifugus.026.gz; fasta.myotis_lucifugus.029.gz; fasta.myotis_lucifugus.047.gz; fasta.myotis_lucifugus.052.gz	nd
Myzus persicae	Green peach aphid	Illumina	Animalia	Arthropoda	Holocentric	169	38	nd	nd	0.034902	3.4902	1.80330971	5	nd	0.32	nd	nd	nd	SRX017730
Nasonia giraulti	Pteromalid parasitoid wasp	Sanger	Animalia	Arthropoda	Monocentric	109	44	0.19068	19.068	0.018242	1.8242	0.8672639111	4	10	0.34	1240.456	found	fasta.nasonia_giraulti.001.gz; fasta.nasonia_giraulti.002.gz	nd
Nasonia longicornis	Pteromalid parasitoid wasp	Sanger	Animalia	Arthropoda	Monocentric	109	44	0.1526	15.26	0.026008	2.6008	1.378955461	5	10	0.34	1768.544	found	fasta.nasonia_longicornis.001.gz	nd
Nasonia vitripennis	Pteromalid parasitoid wasp	Sanger	Animalia	Arthropoda	Monocentric	108	45	0.16714	16.714	0.021437	2.1437	1.100103022	5	10	0.34	1457.716	found	fasta.nasonia_vitripennis.001.gz; fasta.nasonia_vitripennis.002.gz; fasta.nasonia_vitripennis.004.gz; fasta.nasonia_vitripennis.006.gz; fasta.nasonia_vitripennis.007.gz	nd
Nematostella vectensis	Starlet sea anemome	Sanger	Animalia	Cnidaria	Monocentric	186	46	0.18182	18.182	0.008815	0.8815	-0.1819675253	4	30	0.34	199.8066667	not found	fasta.nematostella_vectensis.007.gz; fasta.nematostella_vectensis.012.gz; fasta.nematostella_vectensis.016.gz; fasta.nematostella_vectensis.017.gz; fasta.nematostella_vectensis.018.gz	nd
Neolamprologus brichardi	Princess cichlid	Illumina	Animalia	Chordata	Monocentric	122	63	nd	nd	0.000833	0.0833	-3.585539694	2	nd	nd	nd	nd	nd	SRX033076
Nippostrongylus brasiliensis	Roundworm	Illumina	Animalia	Nematoda	Holocentric	134	48	nd	nd	0.002699	0.2699	-1.889503118	3	nd	nd	nd	nd	nd	ERX008999
Nomascus leucogenys	Northern white-cheeked gibbon	Sanger	Animalia	Chordata	Monocentric	171	36	0.91398	91.398	0.05494	5.494	2.45785691	5	52	3.12	6592.8	found	fasta.nomascus_leucogenys.007.gz; fasta.nomascus_leucogenys.021.gz; fasta.nomascus_leucogenys.024.gz; fasta.nomascus_leucogenys.054.gz; fasta.nomascus_leucogenys.058.gz	nd
Ochotona princeps	American pika	Sanger	Animalia	Chordata	Monocentric	341	46	0.83847	83.847	0.061231	6.1231	2.614262245	5	68	3	5402.735294	not found	fasta.ochotona_princeps.004.gz; fasta.ochotona_princeps.005.gz; fasta.ochotona_princeps.007.gz; fasta.ochotona_princeps.008.gz; fasta.ochotona_princeps.009.gz; fasta.ochotona_princeps.015.gz; fasta.ochotona_princeps.018.gz	nd
Oesophagostomum dentatum	Nodular worm	Sanger	Animalia	Nematoda	Holocentric	52	32	0.27344	27.344	0.024702	2.4702	1.304627854	5	nd	0.06	nd	not found	fasta.oesophagostomum_dentatum.001.gz	nd
Onchocerca flexuosa	Deer filarial worm	Illumina	Animalia	Nematoda	Holocentric	139	44	nd	nd	0.00272	0.272	-1.878321443	3	8	0.15	102	nd	nd	SRX015550
Onchocerca volvulus	River blindness worm	Sanger	Animalia	Nematoda	Holocentric	145	40	nd	nd	0.000363	0.0363	-4.783886642	2	8	0.15	13.6125	not found	fasta.onchocerca_volvulus.001.gz	nd
Oreochromis niloticus	Nile tilapia	Sanger, Illumina	Animalia	Chordata	Monocentric	206	40	0.44898	44.898	0.001285	0.1285	-2.960159735	3	44	1.12	65.41818182	not found	fasta.oreochromis_niloticus.001.gz	SRX030385
Ornithorhynchus anatinus	Platypus	Sanger	Animalia	Chordata	Monocentric	56	58	0.07765	7.765	0.0007	0.07	-3.836501268	2	64	1.88	41.125	found	fasta.ornithorhynchus_anatinus.009.gz; fasta.ornithorhynchus_anatinus.013.gz; fasta.ornithorhynchus_anatinus.015.gz; fasta.ornithorhynchus_anatinus.017.gz; fasta.ornithorhynchus_anatinus.019.gz; fasta.ornithorhynchus_anatinus.037.gz; fasta.ornithorhynchus_anatinus.040.gz; fasta.ornithorhynchus_anatinus.062.gz; fasta.ornithorhynchus_anatinus.065.gz; fasta.ornithorhynchus_anatinus.066.gz	nd
Oryctolagus cuniculus	Rabbit	Sanger	Animalia	Chordata	Monocentric	369	39	0.46117	46.117	0.00293	0.293	-1.77102743	3	44	3.26	434.1727273	not found	fasta.oryctologus_cuniculus.002.gz; fasta.oryctologus_cuniculus.013.gz; fasta.oryctologus_cuniculus.053.gz; fasta.oryctologus_cuniculus.055.gz; fasta.oryctologus_cuniculus.057.gz	nd
Oryza brachyantha	Wild rice	Illumina	Plantae	Monocot	Monocentric	154	41	nd	nd	0.050045	5.0045	2.323225936	5	24	0.35	1459.645833	nd	nd	SRX099350
Oryza sativa	Rice	Illumina	Plantae	Monocot	Monocentric	154	42	nd	nd	0.009548	0.9548	-0.06672952847	4	24	0.5	397.8333333	nd	nd	ERX003073
Oryzias latipes	Medaka	Sanger	Animalia	Chordata	Monocentric	156	30	0.21807	21.807	0.003166	0.3166	-1.659266839	3	48	1.07	141.1508333	not found	fasta.oryzias_latipes.001.gz; fasta.oryzias_latipes.002.gz; fasta.oryzias_latipes.003.gz	nd
